pos,rank,heat,Round,bib,nation,name,time,Note,result,reaction_time
1,1,5,Heats,1734,DOM,Marileidy PAULINO,49.42,,Q,0.164
2,1,3,Heats,1862,GBR,Amber ANNING,49.68,,Q,0.185
3,1,1,Heats,1615,BRN,Salwa Eid NASER,49.91,,Q,0.148
4,2,3,Heats,2175,NED,Lieke KLAVER,49.96,,Q,0.162
5,1,4,Heats,2248,POL,Natalia KACZMAREK,49.98,,Q,0.169
6,1,2,Heats,2064,JAM,Nickisha PRYCE,50.02,,Q,0.187
7,1,6,Heats,1985,IRL,Rhasidat ADELEKE,50.09,,Q,0.162
8,2,1,Heats,2077,JAM,Stacey Ann WILLIAMS,50.16,SB,Q,0.145
9,2,6,Heats,2440,USA,Alexis HOLMES,50.35,,Q,0.144
10,2,2,Heats,1884,GBR,Laviai NIELSEN,50.36,,Q,0.167
11,2,4,Heats,1705,CUB,Roxana GÓMEZ,50.38,SB,Q,0.178
12,3,2,Heats,2217,NOR,Henriette JÆGER,50.39,,Q,0.176
13,3,4,Heats,1566,BAR,Sada WILLIAMS,50.45,,Q,0.204
14,2,5,Heats,2422,USA,Aaliyah BUTLER,50.52,,Q,0.155
15,3,1,Heats,2299,ROU,Andrea MIKLÓS,50.54,PB,Q,0.149
16,3,5,Heats,1553,AUT,Susanne GOGL-WALLI,50.67,PB,Q,0.168
17,4,5,Heats,1994,IRL,Sharlene MAWDSLEY,50.71,PB,Re,0.147
18,4,1,Heats,2292,PUR,Gabby SCOTT,50.74,NR,Re,0.17
19,4,4,Heats,1887,GBR,Victoria OHURUOGU,50.93,,Re,0.196
20,4,2,Heats,2268,POL,Justyna ŚWIĘTY-ERSETIC,50.95,SB,Re,0.192
21,3,3,Heats,2159,MEX,Paola MORÁN,51.04,,Q,0.173
22,5,4,Heats,2130,LAT,Gunta VAIČULE,51.13,,Re,0.185
23,4,3,Heats,1653,CHI,Martina WEIL,51.15,,Re,0.178
24,5,1,Heats,2430,USA,Kendall ELLIS,51.16,,Re,0.195
25,3,6,Heats,2046,JAM,Junelle BROMFIELD,51.36,,Q,0.198
26,5,2,Heats,1511,AUS,Ellie BEER,51.47,PB,Re,0.183
27,5,5,Heats,1963,GUY,Aliyah ABRAMS,51.55,SB,Re,0.163
28,4,6,Heats,2304,RSA,Miranda Charlene COETZEE,51.58,,Re,0.149
29,5,3,Heats,2027,ITA,Alice MANGIONE,51.6,,Re,0.196
30,6,3,Heats,2209,NGR,Ella ONOJUVWEVWO,51.65,,Re,0.173
31,6,4,Heats,1576,BEL,Helena PONETTE,51.75,,Re,0.16
32,5,6,Heats,1725,CZE,Lada VONDROVÁ,51.8,,Re,0.179
33,6,1,Heats,1986,IRL,Sophie BECKER,51.84,,Re,0.165
34,6,2,Heats,1691,COL,Lina Esther LICONA TORRES,51.85,,Re,0.242
35,7,1,Heats,1720,CZE,Tereza PETRŽILKOVÁ,51.92,,Re,0.192
36,7,2,Heats,1641,CAN,Zoe SHERAR,51.97,,Re,0.16
37,8,1,Heats,2140,LTU,Modesta Justė MORAUSKAITĖ,52,SB,Re,0.175
38,6,5,Heats,1718,CZE,Lurdes Gloria MANUEL,52.2,,Re,0.175
39,7,5,Heats,1977,IND,Pahal KIRAN,52.51,,Re,0.181
40,7,3,Heats,1602,BRA,Tiffani MARINHO,52.62,,Re,0.188
